1,192.168.0.0/22
2,192.168.5.0/24
3,192.168.2.0/23
4,192.168.20.0/24
5,192.168.21.0/24
6,192.168.22.0/24
7,192.168.23.0/24
8,192.168.24.0/24
9,192.168.25.0/24
10,192.168.26.0/24
11,192.168.27.0/24
12,192.168.28.0/24
13,192.168.29.0/24
14,192.168.30.0/24
15,10.55.1.0/30
16,10.56.0.0.24
17,10.0.0.0/27
18,10.1.0.0/27
19,10.2.0.0/27
20,10.3.0.0/27
21,10.4.0.0/27
22,10.5.0.0/27
23,10.6.0.0/27
24,10.7.0.0/27
25,10.8.0.0/27
26,10.9.0.1
27,10.9.0.1/32
28,192.168.222.0/25
29,192.168.200.0/24
30,192.168.192.0/24
